"Date Heure, GMT+01:00","Temp., Â°C (SEN S/N: 21065779, LBL: Triv)","Tension, V (SEN S/N: 21065779, LBL: U)"
21/04/14 10:46:36,20.804,0.00282
21/04/14 11:01:36,20.783,1.71813
21/04/14 11:16:36,20.735,1.59316
21/04/14 11:31:36,20.632,1.46204
21/04/14 11:46:36,20.643,1.38502
21/04/14 12:01:36,20.574,1.31518
21/04/14 12:16:36,20.613,1.32219
21/04/14 12:31:36,20.619,1.26669
21/04/14 12:46:36,20.692,1.27619
21/04/14 13:01:36,20.034,1.28619
21/04/14 13:16:36,20.132,1.25669
21/04/14 13:31:36,20.342,1.24669
21/04/14 13:46:36,20.415,1.23669